NGC4214;12h15.6m;+36°20';Crux;Galaxy;9.1;9.6'-8.1';
NGC4216;12h15.9m;+13°09';Vela;Galaxy;10;7.9'-1.7';Silver Streak Galaxy
NGC4361;12h24.5m;-18°47';Crux;Planetary Nebula;10.2;1.9'-1.9';
Mel111;12h25.1m;+26°07';Columba;Open Cluster;1.6;300';Coma Berenices Cluster
NGC4490;12h30.6m;+41°39';Crux;Galaxy;9.5;5.6';Cocoon Galaxy
IC3568;12h33.1m;+82°34';Caelum;Planetary Nebula;10.3;18'-18';Theoretician's Nebula
NGC4526;12h34.0m;+07°42';Vela;Galaxy;9.9;7.4'-2.7';Hairy Eyebrow Galaxy
NGC4605;12h40.0m;+61°36';Tucana;Galaxy;10.3;5.7'-2.5';Faberge' Egg Galaxy
NGC4656;12h44.0m;+32°10';Crux;Galaxy;10.5;18.8'-3.2';Messier's Hockey Stick
NGC4699;12h49.0m;-08°40';Vela;Galaxy;9.5;3.1'-2.5';Vinyl LP Galaxy
NGC4725;12h50.4m;+25°30';Columba;Galaxy;9.2;10.5'-8.1';
NGC5102;13h22.0m;-36°38';Cassiopeia;Galaxy;9.3;8.3'-3.5';Iota's Ghost
NGC5281;13h46.6m;-62°55';Cassiopeia;Open Cluster;6.1;8';Lacaille
NGC5363;13h56.1m;+05°15';Vela;Galaxy;10.1;4.7'-3.2';
NGC5662;14h35.5m;-56°40';Cassiopeia;Open Cluster;5.5;30';Lacaille
NGC5746;14h44.9m;+01°57';Vela;Galaxy;9.3;8.1'-1.4';Blade&Pearl Galaxy
NGC5866;15h06.5m;+55°46';Dorado;Galaxy;9.8;7.3'-3.5';Fool's Gold Galaxy
NGC5897;15h17.4m;-21°01';Lepus;Globular Cluster;8.2;11';Ghost Globular
NGC5986;15h46.1m;-37°47';Libra;Globular Cluster;7.8;9.6';
NGC6210;16h44.5m;+23°48';Grus;Planetary Nebula;8.4;48'-8';Turtle Nebula
NGC6242;16h55.5m;-39°28';Sagittarius;Open Cluster;6.2;9';Lacaille
NGC6281;17h04.8m;-37°53';Sagittarius;Open Cluster;5.8;8';Moth Wing Cluster
NGC6369;17h29.3m;-23°46';Octans;Planetary Nebula;11.4;58'-34';Little Ghost Nebula
NGC6400;17h40.2m;-36°58';Sagittarius;Open Cluster;8.3;12';Phantom Cluster
IC4665;17h46.2m;+05°43';Octans;Open Cluster;4.7;70';Caroline Herschel
NGC6445;17h49.2m;-20°01';Sextans;Planetary Nebula;11.2;3.1'-0.9';Box Nebula
NGC6503;17h49.4m;+70°09';Dorado;Galaxy;10.4;5.9'-2.2';Lost-In-Space Galaxy
NGC6441;17h50.2m;-37°03';Sagittarius;Globular Cluster;7.2;9.6';Silver Nugget Cluster
XXXX;17h57.8m;+04°40';Octans;High Proper Motion Star;9.5;-;Barnard's Star
NGC6520;18h03.4m;-27°54';Sextans;Open Cluster;7.6;5';Dead Man's Chest
NGC6544;18h07.3m;-25°00';Sextans;Globular Cluster;7.5;4.6';Starfish Cluster
NGC6572;18h12.1m;+06°51';Octans;Planetary Nebula;7.3;16'-13';Emerald Eye Planetary
NGC6624;18h23.7m;-30°22';Sextans;Globular Cluster;7.8;8.8';
NGC6633;18h27.2m;+06°30';Octans;Open Cluster;4.3;20';Caroline Herschel
IC4756;18h38.9m;+05°26';Scutum;Open Cluster;4.3;40';Tweedledee Cluster
NGC6709;18h51.5m;+10°20';Apus;Open Cluster;6.8;15';Flying Unicorn Cluster
NGC6712;18h53.1m;-08°42';Scorpius;Globular Cluster;8.3;9.8';
NGC6723;18h59.5m;-36°38';Sextans;Globular Cluster;6.9;13.0';
Cr399;19h26.2m;+20°06';Volans;Asterism;3.5;90';Coathanger
NGC6819;19h41.3m;+40°11';Crux;Open Cluster;7.3;5';Caroline Herschel
NGC6818;19h44.0m;-14°09';Sextans;Planetary Nebula;9.3;22'-15';Little Gem Neb
NGC6866;20h03.9m;+44°09';Crux;Open Cluster;7.6;15';Caroline Herschel
NGC6940;20h34.5m;+28°17';Volans;Open Cluster;6.3;25';Mothra Cluster
